Sample	sub_num	indel_num
0009b464-b376-4fbc-8a56-da538269a02f	15727	670
0040b1b6-b07a-4b6e-90ef-133523eaf412	15029	932
00493087-9d9d-40ca-86d5-936f1b951c93	2538	241
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	2174	154
005794f1-5a87-45b5-9811-83ddf6924568	5212	710
008aef39-0c97-48ce-9dfd-f12d67116c59	3263	331
008bad10-d41b-4bbb-86fa-9976ecea46b1	2407	157
00aa769d-622c-433e-8a8a-63fb5c41ea42	234336	3515
00b9d0e6-69dc-4345-bffd-ce32880c8eef	4051	381
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	5323	689
00c27940-c623-11e3-bf01-24c6515278c0	16701	809
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	9478	1495
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	7325	534
01658141-8398-4585-9f0f-8355dd9b0604	22060	849
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	7511	882
0176cf1d-0760-4769-a493-277f4bb7585e	41719	1928
0192d529-7340-45d8-a5f0-249cbb11ca19	2842	310
01b0848c-ae36-4ade-a3da-d297b003c99f	32988	2349
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	4092	166
01dc6872-c623-11e3-bf01-24c6515278c0	9730	535
01df36af-3617-40fc-9892-f54ce433cf71	5694	296
020fab36-c7de-4933-b2bf-dc7b019a1326	10434	520
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	30962	2619
02917220-6a7a-46a1-8656-907e96bef88e	23243	1023
02c6a893-49c5-49d1-8eb1-195021e70d52	3039	186
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	3600	235
02e5c36f-5bec-45e2-a048-875653b85ca1	5155	576
030695f6-c623-11e3-bf01-24c6515278c0	13402	604
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	6770	497
0385961e-ea99-40b2-ad79-6872bc30d8a1	3170	420
03ad38a6-0902-4aaa-84a3-91ea88fa9883	5698	503
03b5268e-881e-49e7-824f-170c3fc8b11b	1729	214
03c3c692-8a86-4843-85ae-e045f0fa6f88	17709	1507
03c88506-d72e-4a44-a34e-a7f0564f1799	9044	644
03ced0ce-186a-4349-8d98-572c2bc90382	4434	296
03cff38d-7e29-4409-a508-749bddb1b3df	17699	1104
041e3b42-c623-11e3-bf01-24c6515278c0	8347	463
04339769-517c-448d-a7ca-951f83608c60	3262	167
0448206f-3ade-4087-b1a9-4fb2d14e1367	19053	1516
046d7386-95c8-4501-9e55-c85bec272a7a	3930	375
047f9e4d-86b5-4943-aef5-68199bf29e8c	10056	361
04aa6b77-8074-480c-872e-a1a47afa5314	770694	1741
04b570c2-3224-4e9b-81cc-089b4a7ff07a	2737	136
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	1349	133
04c09376-8756-41d9-bbca-f464170a8cfb	75885	514
04db8bef-8777-48ac-bc2e-3c9acb103f48	7765	1379
05070acd-3ec1-44bb-9c32-26d3a483a72a	4486	540
052665d1-ab75-4f40-be5a-b88154c8beed	8197	564
05486349-24a4-4931-bf5f-c9fefe369af2	6954	765
0554ffe5-31f7-43f5-8372-2b73c9cf3527	5143	559
05616329-e7ba-4efd-87b1-d79cd0f7af3d	9820	809
05780d48-80e7-4d70-b00c-081f8a9519f2	95088	75349
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	2747	103
05da3161-1444-4188-914d-19762de3a443	2414	173
0609b182-0396-4755-b463-10f949c5b8bb	1438	228
0624eb1d-3aff-4037-a3c5-fc363a9edd02	1125	115
062e96d4-c623-11e3-bf01-24c6515278c0	10748	484
063cfacf-9933-4a2d-8921-0aeb76e12779	4343	556
068f4f69-d2fe-4f25-912e-ca7d4623efb6	7527	416
06dad93a-4b67-49b3-8fa5-f2546e22bae7	7684	426
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	7685	488
074fd614-5d9c-4bcc-96ad-351aa14387e3	3482	272
075fc96d-6742-4ef3-9369-482592ad3a2f	4212	213
07835447-5d7e-4828-80fd-89b063989c9a	10264	907
079bcb09-a075-4313-9a3e-dd67734a8c5d	8141	883
07b5141f-ac79-439b-883b-b0183bbe7ff5	9652	1246
07d20658-3db4-47e7-877b-66536266edfc	6417	318
07e0e938-f61f-477a-92a2-5b7e74b78943	10151	416
07f16397-71bb-4594-ad4d-caa7d2baeabd	3084	239
080ecc31-756a-4a1b-a51e-d632ac8219f7	24285	2059
08227616-02a5-46e8-9db1-f2d1d691ab23	12688	528
0831e45e-c623-11e3-bf01-24c6515278c0	20954	930
089be98d-c3c9-4fb4-aef2-7a8578a91d51	2800	242
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	6690	254
08b5d0e4-4661-460e-a9f7-f2e687414711	73124	431
08e1d976-6c39-428e-a4c2-f655b675683e	3133	210
09497b9b-6fca-48cb-af97-161a3e434a51	10139	680
09508a0d-ebe0-4fa1-b7b2-1710814181cd	10148	447
09537dce-c797-4b60-962a-d4c3cd6ab00a	2080	130
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	8386	617
097a7d36-905b-72be-e050-11ac0d482c9a	65256	341
0980e7fd-051d-45e9-9ca6-2baf073da4e8	850298	7734
09bc8542-4ea1-4599-91b3-d606425b37e2	16308	532
09cb8bc5-13ac-44ac-9b7d-6de143373570	7790	711
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	6128	811
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	4219	309
0a9c9db0-c623-11e3-bf01-24c6515278c0	11130	593
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	220308	1027
0ae2193f-0d68-485a-b8c2-7568cbcce33e	1961	188
0b19bee7-5281-4915-9d98-c20eb3e84ecf	115787	3876
0b29c893-03bf-4131-b192-c14a2788d411	19465	1438
0b6cd7df-6970-4d60-b7b5-85002a7d8781	3005	222
0b811c6a-8f05-44bd-ac33-fb720d189e71	1713	159
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	2864	201
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	1543	117
0bbc7ede-5022-4084-925c-d65baaf7abc2	42426	1740
0be08326-c623-11e3-bf01-24c6515278c0	13761	589
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	5472	613
0bfd1043-8170-e3e4-e050-11ac0c4860c5	6681	1222
0bfd1043-8177-e3e4-e050-11ac0c4860c5	3983	675
0bfd1043-8181-e3e4-e050-11ac0c4860c5	12697	1406
0bfd1043-8183-e3e4-e050-11ac0c4860c5	17685	3012
0bfd1043-8187-e3e4-e050-11ac0c4860c5	8435	1032
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	4621	756
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	5453	1316
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	7056	961
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	5971	733
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	37722	509
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	15499	460
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	3314	229
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	4280	447
0cd60b96-eb2d-4687-9709-d1455ec45de7	6871	412
