Sample	Ko_gene	Subpathway_KO	Doublings	Clonality
MSK0.106_s1	OGG1	BER	12	Clonal
MSK0.106_s2	OGG1	BER	12	Clonal
MSK0.25_s1	OGG1	BER	36	Clonal
MSK0.25_s2	OGG1	BER	36	Polyclonal
MSK0.161_s1	POLB	BER	12	Clonal
MSK0.161_s2	POLB	BER	12	Clonal
MSK0.162_s1	POLB	BER	12	Clonal
MSK0.162_s2	POLB	BER	12	Clonal
MSK0.135_s1	TDG	BER	12	Polyclonal
MSK0.135_s2	TDG	BER	12	Clonal
MSK0.135_s3	TDG	BER	12	Clonal
MSK0.135_s4	TDG	BER	12	Clonal
MSK0.6_s3	UNG	BER	12	Clonal
MSK0.6_s4	UNG	BER	24	Clonal
MSK0.6_s5	UNG	BER	36	Clonal
MSK0.6_s6	UNG	BER	36	Clonal
MSK0.128_s1	PARP1	BER_DSB repair_NER	12	Clonal
MSK0.128_s2	PARP1	BER_DSB repair_NER	12	Clonal
MSK0.18_s2	PARP1	BER_DSB repair_NER	36	Clonal
MSK0.137_s1	PARP2	BER_DSB repair_NER	12	Clonal
MSK0.137_s2	PARP2	BER_DSB repair_NER	12	Clonal
MSK0.96_s1	PARP2	BER_DSB repair_NER	12	Clonal
MSK0.96_s2	PARP2	BER_DSB repair_NER	12	Polyclonal
MSK0.126_s1	MDC1	Checkpoint_DSB repair	12	Polyclonal
MSK0.126_s2	MDC1	Checkpoint_DSB repair	12	Polyclonal
MSK0.126_s3	MDC1	Checkpoint_DSB repair	12	Clonal
MSK0.126_s4	MDC1	Checkpoint_DSB repair	12	Clonal
MSK0.116_s1	RNF168	Checkpoint_DSB repair	12	Clonal
MSK0.116_s2	RNF168	Checkpoint_DSB repair	12	Clonal
MSK0.14_s1	RNF168	Checkpoint_DSB repair	36	Clonal
MSK0.14_s2	RNF168	Checkpoint_DSB repair	36	Clonal
MSK0.108_s1	RNF8	Checkpoint_DSB repair	12	Polyclonal
MSK0.108_s2	RNF8	Checkpoint_DSB repair	12	Clonal
MSK0.12_s1	RNF8	Checkpoint_DSB repair	36	Clonal
MSK0.12_s2	RNF8	Checkpoint_DSB repair	36	Clonal
MSK0.69_s1	TP53	Checkpoint_DSB repair	12	Polyclonal
MSK0.69_s2	TP53	Checkpoint_DSB repair	12	Polyclonal
MSK0.70_s2	TP53	Checkpoint_DSB repair	12	Polyclonal
MSK0.148_s1	ATM	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.148_s2	ATM	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.16_s1	ATM	Checkpoint_DSB repair_DSB repair pathway choice	36	Polyclonal
MSK0.16_s2	ATM	Checkpoint_DSB repair_DSB repair pathway choice	36	Clonal
MSK0.62_s3	NBN	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.62_s4	NBN	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.24_s1	TP53BP1	Checkpoint_DSB repair_DSB repair pathway choice	36	Clonal
MSK0.24_s2	TP53BP1	Checkpoint_DSB repair_DSB repair pathway choice	36	Clonal
MSK0.94_s1	TP53BP1	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.94_s2	TP53BP1	Checkpoint_DSB repair_DSB repair pathway choice	12	Clonal
MSK0.2_s3	ATP2B4	Control	12	Clonal
MSK0.2_s4	ATP2B4	Control	24	Polyclonal
MSK0.2_s5	ATP2B4	Control	36	Clonal
MSK0.2_s7	ATP2B4	Control	36	Polyclonal
MSK0.5_s4	ATP2B4	Control	12	Clonal
MSK0.5_s5	ATP2B4	Control	24	Clonal
MSK0.5_s6	ATP2B4	Control	36	Clonal
MSK0.5_s8	ATP2B4	Control	36	Clonal
MSK0.47_s2	POLE3	DNA replication	12	Clonal
MSK0.47_s4	POLE3	DNA replication	12	Clonal
MSK0.48_s2	POLE3	DNA replication	12	Clonal
MSK0.48_s4	POLE3	DNA replication	12	Clonal
MSK0.138_s1	POLE4	DNA replication	12	Clonal
MSK0.138_s2	POLE4	DNA replication	12	Clonal
MSK0.67_s1	POLE4	DNA replication	12	Polyclonal
MSK0.67_s2	POLE4	DNA replication	12	Clonal
MSK0.13_s1	PIAS1	DSB repair pathway choice_HR and HR regulation	36	Clonal
MSK0.13_s2	PIAS1	DSB repair pathway choice_HR and HR regulation	36	Clonal
MSK0.142_s1	PIAS1	DSB repair pathway choice_HR and HR regulation	12	Clonal
MSK0.142_s2	PIAS1	DSB repair pathway choice_HR and HR regulation	12	Clonal
MSK0.134_s1	PIAS4	DSB repair pathway choice_HR and HR regulation	12	Clonal
MSK0.134_s2	PIAS4	DSB repair pathway choice_HR and HR regulation	12	Clonal
MSK0.23_s1	PIAS4	DSB repair pathway choice_HR and HR regulation	36	Clonal
MSK0.23_s2	PIAS4	DSB repair pathway choice_HR and HR regulation	36	Clonal
MSK0.136_s1	C1orf86	FA and ICL repair	12	Clonal
MSK0.136_s2	C1orf86	FA and ICL repair	12	Clonal
MSK0.139_s1	C1orf86	FA and ICL repair	12	Clonal
MSK0.139_s2	C1orf86	FA and ICL repair	12	Clonal
MSK0.41_s2	DCLRE1A	FA and ICL repair	12	Clonal
MSK0.41_s4	DCLRE1A	FA and ICL repair	12	Clonal
MSK0.42_s2	DCLRE1A	FA and ICL repair	12	Clonal
MSK0.42_s4	DCLRE1A	FA and ICL repair	12	Clonal
MSK0.122_s1	FAN1	FA and ICL repair	12	Clonal
