indelsubtype	indeltype	type	MSK0.106_s1	MSK0.106_s2	MSK0.108_s2	MSK0.110_s1	MSK0.111_s2	MSK0.114_s2	MSK0.115_s1	MSK0.118_s2	MSK0.121_s1	MSK0.121_s2	MSK0.122_s2	MSK0.124_s1	MSK0.124_s2	MSK0.126_s4	MSK0.131_s1	MSK0.134_s1	MSK0.135_s2	MSK0.136_s1	MSK0.138_s2	MSK0.140_s1	MSK0.142_s1	MSK0.142_s2	MSK0.146_s3	MSK0.147_s1	MSK0.152_s2	MSK0.154_s2	MSK0.155_s1	MSK0.156_s1	MSK0.157_s1	MSK0.160_s1	MSK0.160_s4	MSK0.163_s2	MSK0.164_s1	MSK0.165_s1	MSK0.166_s2	MSK0.166_s3	MSK0.166_s4	MSK0.167_s1	MSK0.167_s2	MSK0.168_s1	MSK0.20_s2	MSK0.26_s3	MSK0.26_s4	MSK0.30_s1	MSK0.39_s4	MSK0.40_s3	MSK0.40_s4	MSK0.41_s2	MSK0.41_s4	MSK0.42_s4	MSK0.43_s4	MSK0.53_s1	MSK0.53_s3	MSK0.54_s1	MSK0.54_s3	MSK0.61_s1	MSK0.62_s3	MSK0.7_s2	MSK0.7_s3	MSK0.82_s1	MSK0.83_s2	MSK0.86_s1	MSK0.86_s2	MSK0.87_s1	MSK0.9_s1	MSK0.9_s2	MSK0.93_s2	MSK0.94_s1	MSK0.94_s2	aggragate
[-]Mh	Mh	Del	0	2	1	0	1	1	1	1	1	0	0	1	1	1	0	3	0	1	1	1	1	0	0	0	0	0	2	0	0	0	1	4	1	1	0	1	0	0	1	0	0	2	2	1	1	1	0	2	1	1	0	0	0	0	0	2	0	1	1	1	3	0	0	0	0	2	1	1	2	54
[->1]Other	[>1]Other	Del	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	23
[->1]Rep	[>1]Rep	Del	0	0	0	0	0	1	0	2	0	2	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	23
[-C]Rep<5	[C]Rep<5	Del	0	1	0	1	0	0	1	0	0	2	1	1	0	1	0	0	1	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	28
[-C]Rep>=5	[C]Rep>=5	Del	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
[-T]Rep<5	[T]Rep<5	Del	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	3	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	21
[-T]Rep>=5	[T]Rep>=5	Del	1	1	0	0	1	1	0	2	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	1	0	0	1	0	3	30
[+]Mh	Mh	Ins	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	8
[+>1]Other	[>1]Other	Ins	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
[+>1]Rep	[>1]Rep	Ins	1	1	2	2	1	1	0	1	1	1	1	1	0	1	1	1	0	2	1	1	2	2	1	2	0	0	1	0	0	0	0	0	0	0	1	1	2	2	0	1	0	2	0	0	0	2	0	1	1	2	0	0	0	0	0	2	0	1	0	3	0	2	2	0	2	0	0	1	0	56
[+C]Rep<5	[C]Rep<5	Ins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
[+C]Rep>=5	[C]Rep>=5	Ins	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
[+T]Rep<5	[T]Rep<5	Ins	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	16
[+T]Rep>=5	[T]Rep>=5	Ins	1	0	1	2	0	1	2	1	0	0	3	3	0	1	2	1	1	0	1	1	2	1	0	0	1	1	0	1	2	1	0	2	1	1	0	0	2	1	3	1	1	0	0	2	1	1	3	0	2	1	0	1	0	1	0	1	1	0	0	0	1	2	1	3	1	1	1	0	0	66
Complex	Complex	Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4
