indelsubtype	indeltype	type	MSK0.10_s1	MSK0.10_s2	MSK0.101_s1	MSK0.101_s2	MSK0.104_s1	MSK0.104_s2	MSK0.106_s1	MSK0.106_s2	MSK0.107_s1	MSK0.107_s2	MSK0.108_s1	MSK0.108_s2	MSK0.113_s1	MSK0.113_s2	MSK0.116_s1	MSK0.116_s2	MSK0.12_s1	MSK0.12_s2	MSK0.120_s1	MSK0.120_s2	MSK0.120_s3	MSK0.122_s1	MSK0.122_s2	MSK0.123_s1	MSK0.123_s2	MSK0.126_s1	MSK0.126_s2	MSK0.126_s3	MSK0.126_s4	MSK0.128_s1	MSK0.128_s2	MSK0.129_s1	MSK0.129_s2	MSK0.13_s1	MSK0.13_s2	MSK0.130_s1	MSK0.130_s2	MSK0.133_s1	MSK0.133_s2	MSK0.134_s1	MSK0.134_s2	MSK0.135_s1	MSK0.135_s2	MSK0.135_s3	MSK0.135_s4	MSK0.136_s1	MSK0.136_s2	MSK0.137_s1	MSK0.137_s2	MSK0.138_s1	MSK0.138_s2	MSK0.139_s1	MSK0.139_s2	MSK0.14_s1	MSK0.14_s2	MSK0.140_s1	MSK0.140_s2	MSK0.142_s1	MSK0.142_s2	MSK0.143_s1	MSK0.143_s2	MSK0.145_s1	MSK0.145_s2	MSK0.148_s1	MSK0.148_s2	MSK0.154_s1	MSK0.154_s2	MSK0.16_s1	MSK0.16_s2	MSK0.161_s1	MSK0.161_s2	MSK0.162_s1	MSK0.162_s2	MSK0.165_s1	MSK0.165_s2	MSK0.170_s1	MSK0.170_s2	MSK0.171_s1	MSK0.171_s2	MSK0.172_s1	MSK0.172_s2	MSK0.173_s1	MSK0.173_s2	MSK0.18_s2	MSK0.19_s1	MSK0.19_s2	MSK0.2_s3	MSK0.2_s4	MSK0.2_s5	MSK0.2_s7	MSK0.21_s2	MSK0.21_s3	MSK0.23_s1	MSK0.23_s2	MSK0.24_s1	MSK0.24_s2	MSK0.25_s1	MSK0.25_s2	MSK0.26_s2	MSK0.26_s3	MSK0.26_s4	MSK0.28_s1	MSK0.28_s2	MSK0.3_s4	MSK0.3_s5	MSK0.3_s6	MSK0.3_s8	MSK0.4_s2	MSK0.4_s3	MSK0.4_s4	MSK0.4_s7	MSK0.41_s2	MSK0.41_s4	MSK0.42_s4	MSK0.45_s2	MSK0.45_s4	MSK0.46_s2	MSK0.46_s4	MSK0.47_s2	MSK0.47_s4	MSK0.48_s2	MSK0.48_s4	MSK0.49_s2	MSK0.49_s4	MSK0.5_s4	MSK0.5_s5	MSK0.5_s6	MSK0.5_s8	MSK0.50_s2	MSK0.50_s4	MSK0.51_s2	MSK0.51_s4	MSK0.52_s1	MSK0.52_s2	MSK0.52_s3	MSK0.52_s4	MSK0.55_s2	MSK0.55_s4	MSK0.56_s2	MSK0.56_s4	MSK0.6_s3	MSK0.6_s4	MSK0.6_s5	MSK0.6_s6	MSK0.62_s3	MSK0.62_s4	MSK0.65_s1	MSK0.65_s2	MSK0.67_s1	MSK0.67_s2	MSK0.69_s1	MSK0.69_s2	MSK0.70_s2	MSK0.71_s2	MSK0.71_s3	MSK0.71_s4	MSK0.77_s1	MSK0.77_s2	MSK0.78_s1	MSK0.78_s2	MSK0.82_s1	MSK0.82_s2	MSK0.83_s1	MSK0.83_s2	MSK0.9_s1	MSK0.9_s2	MSK0.94_s1	MSK0.94_s2	MSK0.95_s1	MSK0.95_s2	MSK0.96_s1	MSK0.96_s2
[-]Mh	Mh	Del	1	3	6	1	3	1	0	2	4	3	1	1	2	2	0	2	1	0	7	11	3	0	0	0	3	0	0	3	1	2	5	0	1	1	2	4	3	2	0	3	0	1	0	2	2	1	2	3	0	2	1	4	4	1	1	1	2	1	0	5	3	3	3	3	1	0	0	1	1	1	4	3	4	1	2	2	5	3	1	4	12	5	11	9	2	1	0	5	3	2	1	1	7	0	2	1	5	0	2	2	2	3	3	2	4	2	2	4	3	29	1	2	1	1	3	1	1	1	1	4	3	1	1	4	1	2	1	1	2	1	2	0	0	3	0	1	0	3	1	7	1	1	1	5	0	0	1	3	2	2	1	2	3	4	5	1	2	2	2	3	1	0	1	3	0	2	1	2	4	1	0	1
[->1]Other	[>1]Other	Del	0	0	2	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	5	2	0	0	1	0	1	0	0	0	1	2	2	0	1	2	0	0	1	0	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	1	0	0	0	0	1	2	0	1	1	2	1	3	3	2	0	1	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	6	2	0	0	0	0	2	2	2	0	1	1	0	2	3	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	3	1	0	0	0	3	0	0	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
[->1]Rep	[>1]Rep	Del	0	0	2	0	0	1	0	0	1	2	1	0	1	0	0	2	0	0	43	47	17	0	0	6	2	0	0	0	0	0	0	0	0	2	0	2	7	2	0	0	0	0	1	1	0	0	0	2	2	2	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	2	2	1	2	0	0	0	6	8	19	10	35	46	49	36	5	1	0	2	1	1	2	1	0	0	1	0	1	3	0	1	0	0	0	0	6	10	13	6	4	10	23	7	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	1	1	3	1	0	0	0	1	0	0	2	0	0	0	2	0	2	1	0	0	0	5	2	1	0	0	0	1	0	0	1	0	0	0	0	1
[-C]Rep<5	[C]Rep<5	Del	0	2	1	0	0	1	0	1	1	0	2	0	1	0	3	2	1	1	36	29	15	1	1	2	1	0	0	1	1	0	1	2	2	3	2	1	1	1	0	0	1	1	1	0	1	0	1	2	3	0	3	1	0	2	2	1	0	0	0	1	2	0	1	2	1	1	0	1	2	0	2	0	1	0	0	9	9	12	5	21	30	24	19	3	0	0	0	2	1	0	0	1	1	2	0	2	2	2	0	1	0	0	3	7	9	8	7	4	4	29	10	0	1	0	2	3	2	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	2	1	1	0	1	1	0	0	4	5	4	0	1	2	0	0	0	0	0	2	0	0	1	0	2	1	0
[-C]Rep>=5	[C]Rep>=5	Del	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	127	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	18	14	20	9	94	93	100	73	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	11	20	28	34	15	13	18	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[-T]Rep<5	[T]Rep<5	Del	0	2	2	0	1	1	1	0	2	1	0	1	0	1	4	1	0	0	51	51	23	1	0	1	1	0	0	1	2	2	0	0	0	0	1	1	4	2	0	0	0	0	0	1	0	1	2	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	18	12	15	12	26	52	43	30	2	1	0	0	0	1	1	0	2	1	0	0	1	2	1	1	0	0	0	0	10	11	20	18	8	17	20	17	0	2	0	0	2	2	0	0	0	0	2	0	2	0	1	0	2	1	0	3	2	0	0	0	1	2	0	0	1	1	0	2	0	0	1	1	1	1	0	2	1	2	4	7	4	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1
[-T]Rep>=5	[T]Rep>=5	Del	1	1	0	1	1	2	1	1	1	1	1	0	1	2	2	3	1	1	1535	1504	644	2	0	10	10	0	0	0	0	0	1	1	2	3	1	6	5	2	0	0	1	0	1	0	2	0	0	0	1	0	0	2	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	573	449	499	302	1075	1330	1339	1120	0	2	3	2	2	3	2	2	1	0	3	0	1	3	1	0	0	2	0	0	487	572	695	722	410	505	841	663	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	4	1	1	4	2	0	2	0	1	1	0	2	1	1	2	1	3	0	0	0	2	0	1	2	2	2	4	1	0	4	0	3	0	0	0	0	0	0	0	0	3	0	1	2	1
[+]Mh	Mh	Ins	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	1	1	1	2	2	1	2	0	1	0	0	1	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	3	4	3	2	0	2	20	2	0	0	0	0	1	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	0	1	1	0	1	0	0	2	0	0	1	1	0	0	0	1	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0
[+>1]Other	[>1]Other	Ins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
[+>1]Rep	[>1]Rep	Ins	0	2	0	0	0	0	1	1	0	1	0	2	1	1	1	1	1	0	12	24	11	3	1	0	1	0	1	0	1	3	3	2	1	0	3	0	0	0	0	1	0	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	4	1	1	0	0	3	3	6	4	5	0	1	27	26	39	31	19	27	25	23	12	1	2	0	1	1	2	0	3	0	2	3	1	0	0	0	2	0	3	3	9	13	14	11	8	7	24	7	1	1	2	2	2	0	3	3	0	2	2	0	0	1	2	1	2	0	0	0	0	0	5	1	0	2	3	1	1	0	0	1	2	0	0	1	0	0	0	1	0	5	0	2	1	1	0	0	1	3	2	0	0	2	0	1	0	0	0	1	0
