ko	simi	num	NChild.x	sum.x	NChild.y	sum.y
MSH2_120	0.366967589517432	5058	3	5058	3	5058
MLH1_173	0.39220857804604	3508	2	3508	2	3508
MSH6_4	0.404998536492082	3443	4	3443	4	3443
MLH1_172	0.389927144707239	3425	2	3425	2	3425
MSH6_3	0.381622165393962	3356	4	3356	4	3356
PMS2_170	0.583979858662118	2167	2	2167	2	2167
PMS2_171	0.62272123933647	1950	2	1950	2	1950
EXO1_71	0.811153047988982	75	3	75	3	75
ATP2B4_2	0.847977462459973	50	4	50	4	50
PMS1_123	0.53529163402382	47	2	47	2	47
PARP1_18	0.901080580079236	46	1	46	1	46
ATP2B4_5	0.908736439501484	41	4	41	4	41
UNG_6	0.899985037022526	40	4	40	4	40
PMS1_130	0.59780238614719	39	2	39	2	39
PARP1_128	0.900486379435056	31	2	31	2	31
PIF1_45	0.948076481371249	30	2	30	2	30
OGG1_25	0.839163183069134	29	2	29	2	29
REV1_52	0.912677944680037	29	4	29	4	29
RNF168_116	0.803042422332183	29	2	29	2	29
POLB_161	0.802278776140722	28	2	28	2	28
POLM_49	0.728803278684522	28	2	28	2	28
TDG_135	0.92972709561322	28	4	28	4	28
WRN_56	0.807349143502043	28	2	28	2	28
FAN1_19	0.847072668730904	26	2	26	2	26
PIAS4_23	0.872081815215061	26	2	26	2	26
POLQ_51	0.660260204767137	26	2	26	2	26
XRCC4_77	0.744336591536335	26	2	26	2	26
XRCC4_78	0.883430865507233	26	2	26	2	26
ATM_16	0.820180871651079	25	2	25	2	25
NHEJ1_65	0.877013903348854	25	2	25	2	25
POLB_162	0.778664250571611	25	2	25	2	25
POLN_107	0.853161689770381	25	2	25	2	25
ATM_148	0.761590221486635	23	2	23	2	23
POLN_28	0.905064550232934	23	2	23	2	23
PARP2_137	0.797087856889082	22	2	22	2	22
PIAS1_13	0.73275825780178	22	2	22	2	22
POLI_101	0.773656076082239	22	2	22	2	22
POLE3_47	0.856279403935699	21	2	21	2	21
WRN_55	0.91189316708478	21	2	21	2	21
C1orf86_139	0.800912221510624	20	2	20	2	20
MDC1_126	0.857517386106582	20	4	20	4	20
PIF1_46	0.735749107833624	20	2	20	2	20
RECQL5_21	0.939659426335102	20	2	20	2	20
SETX_145	0.821826285810543	20	2	20	2	20
C9orf142_113	0.901444927498558	19	2	19	2	19
PRIMPOL_143	0.756979496234739	19	2	19	2	19
TP53_69	0.732053830741273	19	2	19	2	19
PRKDC_26	0.888237142392135	18	3	18	3	18
RNF168_14	0.787104322657265	18	2	18	2	18
TP53_70	0.824278268776206	18	1	18	1	18
POLI_104	0.820187759846489	17	2	17	2	17
TP53BP1_24	0.931413654353027	17	2	17	2	17
PARP2_96	0.766270870251305	16	2	16	2	16
POLE3_48	0.798339514365279	16	2	16	2	16
POLE4_138	0.86030979068978	16	2	16	2	16
RAD18_95	0.608276309051883	16	2	16	2	16
C1orf86_136	0.772145897246344	15	2	15	2	15
C9orf142_129	0.770222598803215	15	2	15	2	15
POLE4_67	0.750987188723682	15	2	15	2	15
POLM_50	0.786330061671962	15	2	15	2	15
FANCM_10	0.805180326868175	14	2	14	2	14
NBN_62	0.604151706432488	14	2	14	2	14
SETX_165	0.85848932763189	14	2	14	2	14
FAN1_122	0.796141147818164	13	2	13	2	13
FANCM_140	0.957192601384434	13	2	13	2	13
PIAS4_134	0.79447012442219	13	2	13	2	13
POLQ_82	0.725954282432893	13	2	13	2	13
OGG1_106	0.764958255448984	12	2	12	2	12
PRIMPOL_133	0.699884469805448	12	2	12	2	12
RECQL5_154	0.695887532609346	12	2	12	2	12
DCLRE1A_41	0.804341645372093	11	2	11	2	11
NHEJ1_9	0.86734650923476	10	2	10	2	10
PIAS1_142	0.839209282501594	10	2	10	2	10
RNF8_108	0.87977774103602	10	2	10	2	10
RAD18_83	0.700271125466493	9	2	9	2	9
RNF8_12	0.786314893706881	9	2	9	2	9
TP53BP1_94	0.662711385256181	9	2	9	2	9
DCLRE1A_42	0.801220384939793	4	1	4	1	4
