Sample_ko	sub	indel
ATM_148_s1	277	14
ATM_148_s2	255	9
ATM_16_s1	359	6
ATM_16_s2	271	19
ATP2B4_2_s3	161	7
ATP2B4_2_s4	359	16
ATP2B4_2_s5	263	15
ATP2B4_2_s7	359	14
ATP2B4_5_s4	146	9
ATP2B4_5_s5	238	8
ATP2B4_5_s6	256	11
ATP2B4_5_s8	306	14
C1orf86_136_s1	181	7
C1orf86_136_s2	179	8
C1orf86_139_s1	182	12
C1orf86_139_s2	203	8
C9orf142_113_s1	237	10
C9orf142_113_s2	205	9
C9orf142_129_s1	198	8
C9orf142_129_s2	231	8
DCLRE1A_41_s2	159	5
DCLRE1A_41_s4	161	7
DCLRE1A_42_s2	168	0
DCLRE1A_42_s4	139	4
EXO1_71_s2	1646	29
EXO1_71_s3	1095	29
EXO1_71_s4	1268	18
FAN1_122_s1	204	9
FAN1_122_s2	194	6
FAN1_19_s1	250	13
FAN1_19_s2	248	13
FANCM_10_s1	247	5
FANCM_10_s2	144	12
FANCM_140_s1	198	4
FANCM_140_s2	197	9
MDC1_126_s1	161	4
MDC1_126_s2	177	2
MDC1_126_s3	191	8
MDC1_126_s4	168	7
MLH1_172_s1	2051	1530
MLH1_172_s2	1937	1935
MLH1_173_s1	1803	1912
MLH1_173_s2	1751	1648
MSH2_120_s1	2316	2122
MSH2_120_s2	2360	2106
MSH2_120_s3	2038	877
MSH6_3_s4	1790	637
MSH6_3_s5	2443	813
MSH6_3_s6	2701	947
MSH6_3_s8	2688	978
MSH6_4_s2	1503	561
MSH6_4_s3	2198	713
MSH6_4_s4	3001	1328
MSH6_4_s7	2503	909
NBN_62_s3	135	6
NBN_62_s4	178	9
NHEJ1_65_s1	215	14
NHEJ1_65_s2	258	11
NHEJ1_9_s1	63	6
NHEJ1_9_s2	85	4
OGG1_106_s1	451	7
OGG1_106_s2	434	5
OGG1_25_s1	717	22
OGG1_25_s2	865	7
PARP1_128_s1	331	13
PARP1_128_s2	212	18
PARP1_18_s2	487	46
PARP2_137_s1	185	12
PARP2_137_s2	202	10
PARP2_96_s1	172	9
PARP2_96_s2	217	7
PIAS1_13_s1	126	11
PIAS1_13_s2	130	11
PIAS1_142_s1	163	6
PIAS1_142_s2	163	5
PIAS4_134_s1	151	5
PIAS4_134_s2	167	8
PIAS4_23_s1	243	13
PIAS4_23_s2	230	13
PIF1_45_s2	164	11
PIF1_45_s4	183	19
PIF1_46_s2	181	12
PIF1_46_s4	183	9
PMS1_123_s1	193	21
PMS1_123_s2	279	27
PMS1_130_s1	301	17
PMS1_130_s2	362	22
PMS2_170_s1	1449	1167
PMS2_170_s2	1618	1048
PMS2_171_s1	1421	1261
PMS2_171_s2	1665	758
POLB_161_s1	250	12
POLB_161_s2	268	18
POLB_162_s1	315	11
POLB_162_s2	216	14
POLE3_47_s2	136	10
POLE3_47_s4	162	12
POLE3_48_s2	128	8
POLE3_48_s4	140	9
POLE4_138_s1	192	9
POLE4_138_s2	158	7
POLE4_67_s1	218	7
POLE4_67_s2	192	8
POLI_101_s1	248	19
POLI_101_s2	155	4
POLI_104_s1	264	8
POLI_104_s2	241	9
POLM_49_s2	231	12
POLM_49_s4	267	18
POLM_50_s2	167	11
POLM_50_s4	149	5
POLN_107_s1	168	11
POLN_107_s2	198	14
POLN_28_s1	258	12
POLN_28_s2	254	12
POLQ_51_s2	195	17
POLQ_51_s4	179	9
POLQ_82_s1	143	5
POLQ_82_s2	137	8
PRIMPOL_133_s1	149	11
PRIMPOL_133_s2	108	1
PRIMPOL_143_s1	220	10
PRIMPOL_143_s2	263	10
PRKDC_26_s2	139	9
PRKDC_26_s3	180	5
PRKDC_26_s4	160	4
RAD18_83_s1	207	2
RAD18_83_s2	189	7
RAD18_95_s1	190	10
RAD18_95_s2	188	8
RECQL5_154_s1	162	8
RECQL5_154_s2	153	4
RECQL5_21_s2	191	12
RECQL5_21_s3	220	12
REV1_52_s1	68	1
REV1_52_s2	186	14
REV1_52_s3	122	4
REV1_52_s4	176	10
RNF168_116_s1	739	12
RNF168_116_s2	775	17
RNF168_14_s1	272	10
RNF168_14_s2	271	8
RNF8_108_s1	251	5
RNF8_108_s2	231	5
RNF8_12_s1	145	7
RNF8_12_s2	111	3
SETX_145_s1	197	10
SETX_145_s2	184	10
SETX_165_s1	171	6
SETX_165_s2	158	8
TDG_135_s1	365	5
TDG_135_s2	275	5
TDG_135_s3	249	8
TDG_135_s4	200	11
TP53_69_s1	278	11
TP53_69_s2	219	8
TP53_70_s2	365	18
TP53BP1_24_s1	262	9
TP53BP1_24_s2	310	8
TP53BP1_94_s1	163	3
TP53BP1_94_s2	169	6
UNG_6_s3	263	9
UNG_6_s4	282	7
UNG_6_s5	361	9
UNG_6_s6	389	17
WRN_55_s2	147	9
WRN_55_s4	124	12
WRN_56_s2	199	10
WRN_56_s4	193	18
XRCC4_77_s1	238	11
XRCC4_77_s2	217	15
XRCC4_78_s1	292	17
XRCC4_78_s2	262	9
