type_4	background	EXO1	MLH1	MSH2	MSH6	PMS1	PMS2
[-C]LongRep_g4	0	1	360	280	158	0	61
[-C]NonRep	0	9	41	25	46	3	18
[-C]ShortRep_leq4	0	4	53	55	32	2	17
[+C]LongRep_g4	0	0	72	46	107	3	164
[+C]NonRep	1	1	13	12	28	0	26
[+C]ShortRep_leq4	0	0	18	11	26	0	52
A|[-T]Rep=1|A	0	3	3	4	10	0	2
A|[-T]Rep=1|C	0	0	1	0	0	0	1
A|[-T]Rep=1|G	0	1	3	2	2	0	1
A|[-T]Rep=2|A	0	0	7	5	3	0	1
A|[-T]Rep=2|C	0	0	1	2	3	0	0
A|[-T]Rep=2|G	0	0	3	5	1	0	0
A|[-T]Rep=3|A	1	3	5	4	10	0	5
A|[-T]Rep=3|C	0	0	0	0	3	0	0
A|[-T]Rep=3|G	0	0	2	0	0	0	0
A|[-T]Rep=4|A	1	0	17	13	19	1	10
A|[-T]Rep=4|C	0	0	16	11	9	0	12
A|[-T]Rep=4|G	0	2	13	9	6	1	2
A|[-T]Rep=5|A	0	0	78	70	92	1	53
A|[-T]Rep=5|C	0	0	38	19	31	0	19
A|[-T]Rep=5|G	0	0	38	42	34	0	12
A|[-T]Rep=6|A	0	0	177	128	177	2	87
A|[-T]Rep=6|C	0	1	38	27	47	0	16
A|[-T]Rep=6|G	0	0	63	53	64	0	31
A|[-T]Rep=7|A	1	0	221	160	226	3	87
A|[-T]Rep=7|C	0	0	96	70	134	0	40
A|[-T]Rep=7|G	0	0	157	132	160	0	44
A|[-T]Rep=8|A	0	0	287	208	372	0	118
A|[-T]Rep=8|C	0	0	140	105	167	0	52
A|[-T]Rep=8|G	0	0	172	123	186	2	66
A|[-T]Rep=9|A	0	0	358	231	438	2	124
A|[-T]Rep=9|C	0	0	170	122	218	1	94
A|[-T]Rep=9|G	0	0	190	146	237	4	76
A|[+T]Rep=0|A	0	0	3	4	7	0	2
A|[+T]Rep=0|C	0	0	0	0	1	0	0
A|[+T]Rep=0|G	0	0	3	3	4	0	3
A|[+T]Rep=1|A	0	1	0	1	0	0	1
A|[+T]Rep=1|C	0	0	1	0	0	0	0
A|[+T]Rep=1|G	0	0	1	0	3	0	3
A|[+T]Rep=2|A	0	0	1	1	3	0	3
A|[+T]Rep=2|C	0	0	0	1	0	0	2
A|[+T]Rep=2|G	0	0	8	4	1	0	6
A|[+T]Rep=3|A	0	0	1	3	3	0	1
A|[+T]Rep=3|C	0	0	1	2	0	0	0
A|[+T]Rep=3|G	0	0	1	2	0	0	4
A|[+T]Rep=4|A	0	0	8	3	3	0	6
A|[+T]Rep=4|C	0	0	3	1	2	0	9
A|[+T]Rep=4|G	0	0	8	0	7	0	3
A|[+T]Rep=5|A	0	0	14	12	11	0	14
A|[+T]Rep=5|C	0	0	8	4	6	0	17
A|[+T]Rep=5|G	0	0	13	3	12	0	14
A|[+T]Rep=6|A	0	0	26	12	34	0	44
A|[+T]Rep=6|C	0	0	17	9	21	0	39
A|[+T]Rep=6|G	0	1	31	17	36	0	53
A|[+T]Rep=7|A	0	2	28	26	47	0	60
