Ko_gene	rear_base	mut_pos_to3	rep_len	Freq	seq_context
MLH1	A	1	2	104	2C_A
MSH2	A	1	2	92	2C_A
MSH6	A	1	2	273	2C_A
MLH1	G	1	2	29	2C_G
MSH2	G	1	2	23	2C_G
MSH6	G	1	2	75	2C_G
MLH1	T	1	2	432	2C_T
MSH2	T	1	2	471	2C_T
MSH6	T	1	2	1303	2C_T
MLH1	A	2	2	53	2C_A
MSH2	A	2	2	35	2C_A
MSH6	A	2	2	128	2C_A
MLH1	G	2	2	3	2C_G
MSH2	G	2	2	2	2C_G
MSH6	G	2	2	11	2C_G
MLH1	T	2	2	25	2C_T
MSH2	T	2	2	28	2C_T
MSH6	T	2	2	73	2C_T
MLH1	A	3	2	0	2C_A
MSH2	A	3	2	0	2C_A
MSH6	A	3	2	0	2C_A
MLH1	G	3	2	0	2C_G
MSH2	G	3	2	0	2C_G
MSH6	G	3	2	0	2C_G
MLH1	T	3	2	0	2C_T
MSH2	T	3	2	0	2C_T
MSH6	T	3	2	0	2C_T
MLH1	A	4	2	0	2C_A
MSH2	A	4	2	0	2C_A
MSH6	A	4	2	0	2C_A
MLH1	G	4	2	0	2C_G
MSH2	G	4	2	0	2C_G
MSH6	G	4	2	0	2C_G
MLH1	T	4	2	0	2C_T
MSH2	T	4	2	0	2C_T
MSH6	T	4	2	0	2C_T
MLH1	A	5	2	0	2C_A
MSH2	A	5	2	0	2C_A
MSH6	A	5	2	0	2C_A
MLH1	G	5	2	0	2C_G
MSH2	G	5	2	0	2C_G
MSH6	G	5	2	0	2C_G
MLH1	T	5	2	0	2C_T
MSH2	T	5	2	0	2C_T
MSH6	T	5	2	0	2C_T
MLH1	A	6	2	0	2C_A
MSH2	A	6	2	0	2C_A
MSH6	A	6	2	0	2C_A
MLH1	G	6	2	0	2C_G
MSH2	G	6	2	0	2C_G
MSH6	G	6	2	0	2C_G
MLH1	T	6	2	0	2C_T
MSH2	T	6	2	0	2C_T
MSH6	T	6	2	0	2C_T
MLH1	A	8	2	0	2C_A
MSH2	A	8	2	0	2C_A
MSH6	A	8	2	0	2C_A
MLH1	G	8	2	0	2C_G
MSH2	G	8	2	0	2C_G
MSH6	G	8	2	0	2C_G
MLH1	T	8	2	0	2C_T
MSH2	T	8	2	0	2C_T
MSH6	T	8	2	0	2C_T
MLH1	A	1	3	32	3C_A
MSH2	A	1	3	29	3C_A
MSH6	A	1	3	70	3C_A
MLH1	G	1	3	10	3C_G
MSH2	G	1	3	8	3C_G
MSH6	G	1	3	25	3C_G
MLH1	T	1	3	135	3C_T
MSH2	T	1	3	129	3C_T
MSH6	T	1	3	334	3C_T
MLH1	A	2	3	105	3C_A
MSH2	A	2	3	85	3C_A
MSH6	A	2	3	220	3C_A
MLH1	G	2	3	5	3C_G
MSH2	G	2	3	10	3C_G
MSH6	G	2	3	9	3C_G
MLH1	T	2	3	37	3C_T
MSH2	T	2	3	27	3C_T
MSH6	T	2	3	94	3C_T
MLH1	A	3	3	9	3C_A
MSH2	A	3	3	16	3C_A
MSH6	A	3	3	27	3C_A
MLH1	G	3	3	1	3C_G
MSH2	G	3	3	0	3C_G
MSH6	G	3	3	2	3C_G
MLH1	T	3	3	4	3C_T
MSH2	T	3	3	6	3C_T
MSH6	T	3	3	16	3C_T
MLH1	A	4	3	0	3C_A
MSH2	A	4	3	0	3C_A
MSH6	A	4	3	0	3C_A
MLH1	G	4	3	0	3C_G
MSH2	G	4	3	0	3C_G
MSH6	G	4	3	0	3C_G
MLH1	T	4	3	0	3C_T
MSH2	T	4	3	0	3C_T
MSH6	T	4	3	0	3C_T
MLH1	A	5	3	0	3C_A
MSH2	A	5	3	0	3C_A
MSH6	A	5	3	0	3C_A
MLH1	G	5	3	0	3C_G
MSH2	G	5	3	0	3C_G
MSH6	G	5	3	0	3C_G
MLH1	T	5	3	0	3C_T
MSH2	T	5	3	0	3C_T
MSH6	T	5	3	0	3C_T
MLH1	A	6	3	0	3C_A
MSH2	A	6	3	0	3C_A
MSH6	A	6	3	0	3C_A
MLH1	G	6	3	0	3C_G
MSH2	G	6	3	0	3C_G
MSH6	G	6	3	0	3C_G
MLH1	T	6	3	0	3C_T
MSH2	T	6	3	0	3C_T
MSH6	T	6	3	0	3C_T
MLH1	A	8	3	0	3C_A
MSH2	A	8	3	0	3C_A
MSH6	A	8	3	0	3C_A
MLH1	G	8	3	0	3C_G
MSH2	G	8	3	0	3C_G
MSH6	G	8	3	0	3C_G
MLH1	T	8	3	0	3C_T
MSH2	T	8	3	0	3C_T
MSH6	T	8	3	0	3C_T
MLH1	A	1	4	8	4C_A
MSH2	A	1	4	7	4C_A
MSH6	A	1	4	23	4C_A
MLH1	G	1	4	3	4C_G
MSH2	G	1	4	1	4C_G
MSH6	G	1	4	10	4C_G
MLH1	T	1	4	23	4C_T
MSH2	T	1	4	16	4C_T
MSH6	T	1	4	49	4C_T
MLH1	A	2	4	21	4C_A
MSH2	A	2	4	18	4C_A
MSH6	A	2	4	76	4C_A
MLH1	G	2	4	7	4C_G
MSH2	G	2	4	5	4C_G
MSH6	G	2	4	7	4C_G
MLH1	T	2	4	7	4C_T
MSH2	T	2	4	9	4C_T
MSH6	T	2	4	29	4C_T
MLH1	A	3	4	8	4C_A
MSH2	A	3	4	1	4C_A
MSH6	A	3	4	28	4C_A
MLH1	G	3	4	1	4C_G
MSH2	G	3	4	0	4C_G
MSH6	G	3	4	6	4C_G
MLH1	T	3	4	12	4C_T
MSH2	T	3	4	4	4C_T
MSH6	T	3	4	15	4C_T
MLH1	A	4	4	3	4C_A
MSH2	A	4	4	1	4C_A
MSH6	A	4	4	11	4C_A
MLH1	G	4	4	2	4C_G
MSH2	G	4	4	1	4C_G
MSH6	G	4	4	1	4C_G
MLH1	T	4	4	1	4C_T
MSH2	T	4	4	1	4C_T
MSH6	T	4	4	6	4C_T
MLH1	A	5	4	0	4C_A
MSH2	A	5	4	0	4C_A
MSH6	A	5	4	0	4C_A
MLH1	G	5	4	0	4C_G
MSH2	G	5	4	0	4C_G
MSH6	G	5	4	0	4C_G
MLH1	T	5	4	0	4C_T
MSH2	T	5	4	0	4C_T
MSH6	T	5	4	0	4C_T
MLH1	A	6	4	0	4C_A
MSH2	A	6	4	0	4C_A
MSH6	A	6	4	0	4C_A
MLH1	G	6	4	0	4C_G
MSH2	G	6	4	0	4C_G
MSH6	G	6	4	0	4C_G
MLH1	T	6	4	0	4C_T
MSH2	T	6	4	0	4C_T
MSH6	T	6	4	0	4C_T
MLH1	A	8	4	0	4C_A
MSH2	A	8	4	0	4C_A
MSH6	A	8	4	0	4C_A
MLH1	G	8	4	0	4C_G
MSH2	G	8	4	0	4C_G
MSH6	G	8	4	0	4C_G
MLH1	T	8	4	0	4C_T
MSH2	T	8	4	0	4C_T
MSH6	T	8	4	0	4C_T
MLH1	A	1	5	0	5C_A
MSH2	A	1	5	2	5C_A
MSH6	A	1	5	5	5C_A
MLH1	G	1	5	1	5C_G
MSH2	G	1	5	0	5C_G
MSH6	G	1	5	1	5C_G
MLH1	T	1	5	2	5C_T
MSH2	T	1	5	3	5C_T
MSH6	T	1	5	12	5C_T
MLH1	A	2	5	7	5C_A
MSH2	A	2	5	4	5C_A
MSH6	A	2	5	15	5C_A
MLH1	G	2	5	0	5C_G
MSH2	G	2	5	1	5C_G
