RepIndel_num	Del_rep_mean	MMR_sum	maxcossim	MSI_status	glm_prob
col2348_1039	644	0.768871736	0	0.582273249	Non-MSI-H	0.982391293860312
col2348_619	646	0.944096167	0	0.553067088	Non-MSI-H	0.974316499593529
col2348_1301	660	0.928925183	0	0.524451996	Non-MSI-H	0.984041327239562
col2348_1429	672	0.8281604	0	0.583528589	MSI-H	0.976545998332178
col2348_925	691	0.838251016	0	0.550258898	Non-MSI-H	0.98471614459816
col2348_360	697	0.805210556	0	0.546252803	Non-MSI-H	0.987586150156904
col2348_1171	732	0.940630529	0	0.553447451	Non-MSI-H	0.974556201821748
col2348_93	756	0.559142014	0	0.54903498	Non-MSI-H	0.995818939003094
col2348_932	762	0.942284821	0	0.561402903	Non-MSI-H	0.971306275270193
col2348_1164	763	0.753120756	0	0.49564757	Non-MSI-H	0.995283213389624
col2348_297	765	0.872274004	0	0.561744815	Non-MSI-H	0.978971513374993
col2348_496	772	0.90554543	0	0.524290513	Non-MSI-H	0.98566991781674
col2348_601	773	0.894086346	0	0.572471818	Non-MSI-H	0.972981386798912
col2348_976	781	0.783179248	594.2230713	0.488648746	Non-MSI-H	0.99497967054038
col2348_335	782	0.889651769	0	0.555882548	Non-MSI-H	0.979067447703111
col2348_577	788	0.755025974	905.6266434	0.657590199	Non-MSI-H	0.95032613895019
col2348_1307	800	0.872888319	583.6956522	0.580724599	Non-MSI-H	0.971718838910913
col2348_883	801	0.557781392	2726.973504	0.754147551	Non-MSI-H	0.91550131734586
col2348_845	810	0.864806321	1224.890116	0.486378844	Non-MSI-H	0.992737784435939
col2348_1060	837	0.891372568	0	0.553124192	Non-MSI-H	0.979704696534734
col2348_937	839	0.821893642	0	0.532618341	Non-MSI-H	0.988969478828365
col2348_123	855	0.940899299	0	0.576190588	Non-MSI-H	0.964857075953066
col2348_89	861	0.910843597	596.5402904	0.579815247	Non-MSI-H	0.966864490140934
col2348_33	891	0.579368847	0	0.554470156	Non-MSI-H	0.995028987650777
col2348_1027	900	0.95059006	0	0.528267802	Non-MSI-H	0.981360015824496
col2348_131	913	0.922029439	0	0.573358263	Non-MSI-H	0.968942296783254
col2348_659	913	0.955151468	0	0.569845827	Non-MSI-H	0.965718675471966
col2348_834	916	0.908624669	0	0.561462461	Non-MSI-H	0.975280844568739
col2348_1245	924	0.924683505	0	0.592078187	Non-MSI-H	0.959143375839141
col2348_974	930	0.962170262	0	0.576317168	Non-MSI-H	0.96126927447902
col2348_1112	934	0.796867486	0	0.606620448	Non-MSI-H	0.971680051955338
col2348_84	936	0.869350913	0	0.563360144	Non-MSI-H	0.978729470038875
col2348_150	938	0.902935858	0	0.503441481	Non-MSI-H	0.989483972102176
col2348_1190	944	0.956843684	0	0.448467497	Non-MSI-H	0.993902696587689
col2348_1471	950	0.951983152	0	0.559659186	Non-MSI-H	0.970703648784784
col2348_1179	970	0.839919876	0	0.523164234	Non-MSI-H	0.989529878854965
col2348_116	970	0.877307234	0	0.598218621	Non-MSI-H	0.963921170972988
col2348_1523	985	0.903128534	0	0.590999819	Non-MSI-H	0.963408815305183
col2348_686	988	0.906152501	0	0.586097538	Non-MSI-H	0.965373362882996
col2348_1168	996	0.919151073	0	0.573500036	Non-MSI-H	0.969253892030802
col2348_98	1001	0.91042819	0	0.578869903	Non-MSI-H	0.968108750465599
col2348_813	1006	0.913053244	0	0.554322878	Non-MSI-H	0.977190422681869
col2348_682	1011	0.955577387	0	0.567285883	Non-MSI-H	0.966834131322577
col2348_1821	1023	0.782878316	1294.753036	0.575807997	Non-MSI-H	0.981871587297322
col2348_196	1024	0.938836865	0	0.548962891	Non-MSI-H	0.976246910961376
col2348_385	1026	0.784240422	811.0826743	0.535698004	Non-MSI-H	0.989939161132958
