00508f2b-36bf-44fc-b66b-97e1f3e40bfa	005e85a3-3571-462d-8dc9-2babfc7ace21	007aab66-2f07-459d-8952-3041d6ea24a8	008aef39-0c97-48ce-9dfd-f12d67116c59	008bad10-d41b-4bbb-86fa-9976ecea46b1	00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0192d529-7340-45d8-a5f0-249cbb11ca19	01c8e465-2b4e-4519-bdef-c3ac06b43eeb	04c09376-8756-41d9-bbca-f464170a8cfb	079bcb09-a075-4313-9a3e-dd67734a8c5d	91f458e6-64b7-454d-a542-b0aa23638fd8	PD11365a	PD23561a	PD23564a	PD23579a	PD24189a	PD24193a	PD24320a	PD31040a	PD31122a	PD31144a	PD36047a	PD5937a	PD6412a	PD7318a	PD9604a
Breast_A	0	184.620922384702	0	264.459476022675	215.910299003322	0	0	529.388114453412	5535.89957525271	0	0	0	5764.44372053742	40728.8688875306	63827.4758357714	15951.5080975082	5554.17844892868	971.752340913434	17846.2621936161	6725.36704193825	9940.23996567015	8646.74383722447	24233.827629728	7042.19899144315	11448.0317863186	1242.06418521481
Breast_B	0	0	0	0	0	715.939826514582	0	0	29605.4192486253	883.387239807858	1671.62580596603	0	16003.620017753	0	0	0	0	0	0	1372.99361379946	0	0	26319.7596203147	0	0	0
Breast_C	0	0	0	0	0	809.997609452906	0	0	0	0	0	0	28496.665305032	0	0	0	0	0	0	0	0	0	17359.7563072716	0	0	0
Breast_D	282.298521256932	0	111.870431893688	281.956794852153	0	677.916467454409	0	458.336023477623	0	0	2315.67427682581	8169.48807211697	0	10976.9469833166	9949.39186071144	6971.06265003212	2320.0808499265	10837.2380406395	9402.25057109341	8695.29264599381	14303.3567729938	4305.87648363115	0	7158.21050646231	4021.44319555233	6356.91863912286
Breast_E	269.740757855823	0	0	339.947908686992	0	0	0	845.619955979457	0	1039.30859711787	0	0	0	0	0	0	0	0	0	0	4738.92833643256	0	0	3504.34783299252	0	0
Breast_F	0	0	66.7209302325581	380.441703692355	0	712.937982378253	255.909954273655	0	0	1024.76930656485	1252.59426980105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_G	862.969500924214	178.600674915636	170.564784053156	364.444155048261	313.869601328904	642.894952530565	0	798.085106382979	35357.6976391953	905.446853060722	2579.69414686771	0	0	0	0	0	0	957.256035416269	0	0	0	0	0	0	0	0
Breast_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_I	0	261.379077615298	0	528.91895204535	374.344476744186	839.015436104091	626.779458318677	1224.89801907557	0	928.007821160242	3366.75338066685	2727.99868078713	0	0	8192.76406598	0	0	1189.69679597427	0	0	0	0	0	0	0	0
Breast_J	256.680683918669	411.383577052868	0	687.394668300904	765.681893687708	879.040024588484	808.215617305663	0	0	2070.09416184259	1544.61624727163	0	0	29056.3302111798	0	4554.50096358657	1392.54906677358	1087.22291228741	0	3050.20738692475	0	0	0	3032.30097877663	3920.39436789944	1071.87026492871
Breast_K	0	0	99.328903654485	255.9607783055	220.408430232558	970.596270746534	282.900457263454	0	0	0	4746.3572091623	0	0	0	0	0	0	0	0	0	0	0	0	1963.19486191904	0	0
