Sample	Breast_A	Breast_D	MMR_sum
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0	282.298521256932	282.298521256932
005e85a3-3571-462d-8dc9-2babfc7ace21	184.620922384702	0	184.620922384702
007aab66-2f07-459d-8952-3041d6ea24a8	0	111.870431893688	111.870431893688
008aef39-0c97-48ce-9dfd-f12d67116c59	264.459476022675	281.956794852153	546.416270874828
008bad10-d41b-4bbb-86fa-9976ecea46b1	215.910299003322	0	215.910299003322
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0	677.916467454409	677.916467454409
0192d529-7340-45d8-a5f0-249cbb11ca19	0	0	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	529.388114453412	458.336023477623	987.724137931034
04c09376-8756-41d9-bbca-f464170a8cfb	5535.89957525271	0	5535.89957525271
079bcb09-a075-4313-9a3e-dd67734a8c5d	0	0	0
91f458e6-64b7-454d-a542-b0aa23638fd8	0	2315.67427682581	2315.67427682581
PD11365a	0	8169.48807211697	8169.48807211697
PD23561a	5764.44372053742	0	5764.44372053742
PD23564a	40728.8688875306	10976.9469833166	51705.8158708471
PD23579a	63827.4758357714	9949.39186071144	73776.8676964829
PD24189a	15951.5080975082	6971.06265003212	22922.5707475403
PD24193a	5554.17844892868	2320.0808499265	7874.25929885518
PD24320a	971.752340913434	10837.2380406395	11808.990381553
PD31040a	17846.2621936161	9402.25057109341	27248.5127647095
PD31122a	6725.36704193825	8695.29264599381	15420.6596879321
PD31144a	9940.23996567015	14303.3567729938	24243.596738664
PD36047a	8646.74383722447	4305.87648363115	12952.6203208556
PD5937a	24233.827629728	0	24233.827629728
PD6412a	7042.19899144315	7158.21050646231	14200.4094979055
PD7318a	11448.0317863186	4021.44319555233	15469.4749818709
PD9604a	1242.06418521481	6356.91863912286	7598.98282433768
